ciclo,archivo,fuente,bytes,sha256,ruta
2025,REQ_2025_EXTRA-IIf.pdf,sitio,314455,9fc7eec598608c07,data/requisitos/2025/REQ_2025_EXTRA-IIf.pdf
2026,ANEXO_BECA_ESPERANZA_JOVEN_2026.pdf,sitio,65940,1e9866ac59d2a1d7,data/requisitos/2026/ANEXO_BECA_ESPERANZA_JOVEN_2026.pdf
2026,INDICACIONES_2026_ORDINARIO_ESPECIAL.pdf,sitio,165213,74d2b2c8a012c91a,data/requisitos/2026/INDICACIONES_2026_ORDINARIO_ESPECIAL.pdf
2026,INDICACIONES_BECA_ESPERANZA_2026.pdf,sitio,44369,4c01e19fcfdd6875,data/requisitos/2026/INDICACIONES_BECA_ESPERANZA_2026.pdf
2026,INDICACIONES_IORDINARIO_ESPECIAL_2026.pdf,sitio,121264,3b390b7df7dc8245,data/requisitos/2026/INDICACIONES_IORDINARIO_ESPECIAL_2026.pdf
2026,REQ_2026_CCI.pdf,sitio,192440,8a764afbdc6d4345,data/requisitos/2026/REQ_2026_CCI.pdf
2026,REQ_2026_EXTRA-I.pdf,sitio,156333,d9e9e4c56dee34b8,data/requisitos/2026/REQ_2026_EXTRA-I.pdf
2026,REQ_2026_I-DISTANCIA.pdf,sitio,127379,ef164ae982827697,data/requisitos/2026/REQ_2026_I-DISTANCIA.pdf
2026,REQ_2026_I-EG.pdf,sitio,192621,7efcb352fc4d68c3,data/requisitos/2026/REQ_2026_I-EG.pdf
2026,REQ_2026_II-EAV.pdf,sitio,120383,10f2e504c65f727a,data/requisitos/2026/REQ_2026_II-EAV.pdf
2026,REQ_2026_II-EG.pdf,sitio,136106,d96f594e5ff65e3c,data/requisitos/2026/REQ_2026_II-EG.pdf
2026,REQ_2026_III-EDS.pdf,sitio,116192,cad226b53783e984,data/requisitos/2026/REQ_2026_III-EDS.pdf
2026,REQ_2026_IIIORDINARIO.pdf,sitio,129735,03932db219d096cf,data/requisitos/2026/REQ_2026_IIIORDINARIO.pdf
2026,REQ_2026_PRECAIII.pdf,sitio,117386,5ea406d817f6c99e,data/requisitos/2026/REQ_2026_PRECAIII.pdf
2026,REQ_2026_PRECA_I.pdf,sitio,192149,ade648229a8d1cd8,data/requisitos/2026/REQ_2026_PRECA_I.pdf
2026,REQ_2026_PRECA_II.pdf,sitio,123741,08a4a3acd41f4747,data/requisitos/2026/REQ_2026_PRECA_II.pdf
2026,REQ_2026_RSUP.pdf,sitio,195027,8ac0ddb8dd7d1d49,data/requisitos/2026/REQ_2026_RSUP.pdf
2027,INDICACIONES_2027_ORDINARIO_ESPECIAL.pdf,sitio,165586,a541228f28f3d2cf,data/requisitos/2027/INDICACIONES_2027_ORDINARIO_ESPECIAL.pdf
2027,INDICACIONES_2027_POSTULANTES_SELECCIONADO_RENDIMIENTO_SUPERIOR.pdf,sitio,154700,b3e1c42d5645babe,data/requisitos/2027/INDICACIONES_2027_POSTULANTES_SELECCIONADO_RENDIMIENTO_SUPERIOR.pdf
2027,INDICACIONES_INGRESANTES_PRECATÓLICA_2027-I.pdf,sitio,164786,d8b108452b91ca31,data/requisitos/2027/INDICACIONES_INGRESANTES_PRECATÓLICA_2027-I.pdf
2027,REQ_2027_CCI.pdf,sitio,109790,482baa990ecac533,data/requisitos/2027/REQ_2027_CCI.pdf
sin_ciclo,INDICACIONES_PARA_INGRESANTES_EXTRAORDINARIO_II.pdf,sitio,151565,2e99cb93e773df26,data/requisitos/sin_ciclo/INDICACIONES_PARA_INGRESANTES_EXTRAORDINARIO_II.pdf
